"","trial","subject","task","pre_influence_norm","post_influence_norm","truth_norm","pre_influence","post_influence","truth"
"174",106,4,"3",NA,2.11111111111111,0,NA,40,21
"175",106,4,"5",0.4,1.6,1.064,500,800,666
"176",106,4,"6",NA,-0.434782608695652,0.214285714285714,NA,90,180
"177",106,5,"1",1,1,1.64102564102564,120,120,145
"178",106,5,"3",2.11111111111111,1,0,40,30,21
"179",106,5,"5",-0.2,1.4,1.064,350,750,666
"180",106,5,"6",-0.36231884057971,-1.01449275362319,0.214285714285714,100,10,180
"181",107,1,"1",-0.0810810810810811,1.81081081081081,1.64102564102564,80,150,145
"182",107,1,"3",-0.666666666666667,-0.666666666666667,0,15,15,21
"183",107,1,"5",-0.4,0,1.064,300,400,666
"184",107,1,"6",-0.36231884057971,-0.36231884057971,0.214285714285714,100,100,180
"185",107,2,"1",1.81081081081081,6.13513513513514,1.64102564102564,150,310,145
"186",107,2,"3",-0.111111111111111,0.111111111111111,0,20,22,21
"187",107,2,"5",-1.2,0.68,1.064,100,570,666
"188",107,2,"6",-0.326086956521739,-0.797101449275362,0.214285714285714,105,40,180
"189",107,3,"1",0.783783783783784,3.43243243243243,1.64102564102564,112,210,145
"190",107,3,"3",0.111111111111111,-0.777777777777778,0,22,14,21
"191",107,3,"5",-0.64,2.396,1.064,240,999,666
"192",107,3,"6",0.36231884057971,-0.797101449275362,0.214285714285714,200,40,180
"193",107,4,"1",7.21621621621622,5.86486486486486,1.64102564102564,350,300,145
"194",107,4,"3",-1.22222222222222,-1,0,10,12,21
"195",107,4,"5",2.396,2.4,1.064,999,1000,666
"196",107,4,"6",1.08695652173913,-0.797101449275362,0.214285714285714,300,40,180
"197",107,5,"1",4.27027027027027,5.08108108108108,1.64102564102564,241,271,145
"198",107,5,"3",-0.111111111111111,0,0,20,21,21
"199",107,5,"5",2.4,2.4,1.064,1000,1000,666
"200",107,5,"6",1.08695652173913,-0.797101449275362,0.214285714285714,300,40,180
"201",108,1,"1",-0.621621621621622,-0.351351351351351,1.64102564102564,60,70,145
"202",108,1,"3",-1.44444444444444,-0.111111111111111,0,8,20,21
"203",108,1,"5",-0.8,0.68,1.064,200,570,666
"204",108,1,"6",NA,NA,0.214285714285714,NA,NA,180
"205",108,2,"1",-0.891891891891892,-0.891891891891892,1.64102564102564,50,50,145
"206",108,2,"3",1,-0.666666666666667,0,30,15,21
"207",108,2,"5",0.4,0.8,1.064,500,600,666
"208",108,2,"6",NA,NA,0.214285714285714,50000,50000,180
"209",108,3,"1",1.67567567567568,-0.351351351351351,1.64102564102564,145,70,145
"210",108,3,"3",3.22222222222222,1,0,50,30,21
"211",108,3,"5",-0.78,1.2,1.064,205,700,666
"212",108,3,"6",-0.579710144927536,NA,0.214285714285714,70,3500,180
"213",108,4,"1",-1.62162162162162,-1.43243243243243,1.64102564102564,23,30,145
"214",108,4,"3",-0.888888888888889,-0.888888888888889,0,13,13,21
"215",108,4,"5",-1.468,0.8,1.064,33,600,666
"216",108,4,"6",-0.36231884057971,NA,0.214285714285714,100,30000,180
"217",108,5,"1",-1.2972972972973,-0.621621621621622,1.64102564102564,35,60,145
"218",108,5,"3",-0.111111111111111,-0.666666666666667,0,20,15,21
"219",108,5,"5",-0.6,0.8,1.064,250,600,666
"220",108,5,"6",-1.01449275362319,NA,0.214285714285714,10,30000,180
"221",109,1,"1",-0.756756756756757,11.2702702702703,1.64102564102564,55,500,145
"222",109,1,"3",5.44444444444444,1,0,70,30,21
"223",109,1,"5",3.2,2.4,1.064,1200,1000,666
"224",109,1,"6",-0.942028985507246,-1.07971014492754,0.214285714285714,20,1,180
"225",109,2,"1",1,1.27027027027027,1.64102564102564,120,130,145
"226",109,2,"3",-1,-1,0,12,12,21
"227",109,2,"5",-0.6,0.64,1.064,250,560,666
"228",109,2,"6",NA,13.4057971014493,0.214285714285714,13000,2000,180
"229",109,3,"1",2.62162162162162,2.08108108108108,1.64102564102564,180,160,145
"230",109,3,"3",-1,0.333333333333333,0,12,24,21
"231",109,3,"5",0.8,1.6,1.064,600,800,666
"232",109,3,"6",4.71014492753623,4.71014492753623,0.214285714285714,800,800,180
"233",109,4,"1",2.62162162162162,4.51351351351351,1.64102564102564,180,250,145
"234",109,4,"3",0.666666666666667,0.444444444444444,0,27,25,21
"235",109,4,"5",2,1.2,1.064,900,700,666
"236",109,4,"6",-0.884057971014493,-1.07246376811594,0.214285714285714,28,2,180
"237",109,5,"1",1,1.81081081081081,1.64102564102564,120,150,145
"238",109,5,"3",-0.666666666666667,-0.666666666666667,0,15,15,21
"239",109,5,"5",0.4,1.6,1.064,500,800,666
"240",109,5,"6",4.71014492753623,3.26086956521739,0.214285714285714,800,600,180
"241",11,1,"1",-1.51351351351351,1,1.64102564102564,27,120,145
"242",11,1,"3",-1.22222222222222,-0.333333333333333,0,10,18,21
"243",11,1,"5",2.48,2,1.064,1020,900,666
"244",11,1,"6",-0.579710144927536,NA,0.214285714285714,70,10000,180
"245",11,2,"1",1.81081081081081,1,1.64102564102564,150,120,145
"246",11,2,"3",-1.22222222222222,-1.22222222222222,0,10,10,21
"247",11,2,"5",-0.8,-0.8,1.064,200,200,666
"248",11,2,"6",-0.36231884057971,1.08695652173913,0.214285714285714,100,300,180
"249",11,3,"1",-1.59459459459459,0.459459459459459,1.64102564102564,24,100,145
"250",11,3,"3",-0.888888888888889,-0.888888888888889,0,13,13,21
"251",11,3,"5",0.344,2.4,1.064,486,1000,666
"252",11,3,"6",-0.797101449275362,NA,0.214285714285714,40,10000,180
"253",11,4,"1",-0.837837837837838,-0.378378378378378,1.64102564102564,52,69,145
"254",11,4,"3",0.111111111111111,-1,0,22,12,21
"255",11,4,"5",-0.8,3.2,1.064,200,1200,666
"256",11,4,"6",0,NA,0.214285714285714,150,93700,180
"257",11,5,"1",0.72972972972973,1,1.64102564102564,110,120,145
"258",11,5,"3",1,-1,0,30,12,21
"259",11,5,"5",2.4,2.4,1.064,1000,1000,666
"260",11,5,"6",NA,NA,0.214285714285714,NA,10000,180
"261",110,1,"1",-1.51351351351351,-0.486486486486487,1.64102564102564,27,65,145
"262",110,1,"3",-0.777777777777778,0.777777777777778,0,14,28,21
"263",110,1,"5",-1.072,0.56,1.064,132,540,666
"264",110,1,"6",11.231884057971,-0.36231884057971,0.214285714285714,1700,100,180
"265",110,2,"1",-0.891891891891892,-0.891891891891892,1.64102564102564,50,50,145
"266",110,2,"3",1,-0.111111111111111,0,30,20,21
"267",110,2,"5",-0.88,0.4,1.064,180,500,666
"268",110,2,"6",2.53623188405797,6.15942028985507,0.214285714285714,500,1000,180
"269",110,3,"1",-0.891891891891892,-0.891891891891892,1.64102564102564,50,50,145
"270",110,3,"3",1,1,0,30,30,21
"271",110,3,"5",-0.8,-0.4,1.064,200,300,666
"272",110,3,"6",-0.905797101449275,NA,0.214285714285714,25,50000,180
"273",110,4,"1",1,-0.891891891891892,1.64102564102564,120,50,145
"274",110,4,"3",0.444444444444444,0.555555555555556,0,25,26,21
"275",110,4,"5",-1.2,0,1.064,100,400,666
"276",110,4,"6",-1.01449275362319,-1.01449275362319,0.214285714285714,10,10,180
"277",110,5,"1",1,-0.135135135135135,1.64102564102564,120,78,145
"278",110,5,"3",3.22222222222222,2.33333333333333,0,50,42,21
"279",110,5,"5",-1.2,-0.16,1.064,100,360,666
"280",110,5,"6",-1.05072463768116,-1.05072463768116,0.214285714285714,5,5,180
"281",111,1,"1",-1.02702702702703,0.189189189189189,1.64102564102564,45,90,145
"282",111,1,"3",-1.22222222222222,-0.333333333333333,0,10,18,21
"283",111,1,"5",-1,0,1.064,150,400,666
"284",111,1,"6",9.78260869565217,0.36231884057971,0.214285714285714,1500,200,180
"285",111,2,"1",-0.216216216216216,1,1.64102564102564,75,120,145
"286",111,2,"3",-0.333333333333333,-0.666666666666667,0,18,15,21
"287",111,2,"5",0.4,0.2,1.064,500,450,666
"288",111,2,"6",0,6.15942028985507,0.214285714285714,150,1000,180
"289",111,3,"1",-2,0.459459459459459,1.64102564102564,9,100,145
"290",111,3,"3",-1.22222222222222,-0.666666666666667,0,10,15,21
"291",111,3,"5",1.2,0.08,1.064,700,420,666
"292",111,3,"6",NA,13.4057971014493,0.214285714285714,NA,2000,180
"293",111,4,"1",11.2702702702703,0.459459459459459,1.64102564102564,500,100,145
"294",111,4,"3",-1.22222222222222,-0.111111111111111,0,10,20,21
"295",111,4,"5",2.4,0,1.064,1000,400,666
"296",111,4,"6",-0.869565217391304,6.15942028985507,0.214285714285714,30,1000,180
"297",111,5,"1",0.594594594594595,0.594594594594595,1.64102564102564,105,105,145
"298",111,5,"3",-0.111111111111111,-0.111111111111111,0,20,20,21
"299",111,5,"5",1.54,0.32,1.064,785,480,666
"300",111,5,"6",-0.72463768115942,6.15942028985507,0.214285714285714,50,1000,180
"301",112,1,"1",0.72972972972973,1,1.64102564102564,110,120,145
"302",112,1,"3",-1,-0.555555555555556,0,12,16,21
"303",112,1,"5",-0.88,0.992,1.064,180,648,666
"304",112,1,"6",6.15942028985507,5.43478260869565,0.214285714285714,1000,900,180
"305",112,2,"1",-1.02702702702703,1,1.64102564102564,45,120,145
"306",112,2,"3",-0.666666666666667,-0.555555555555556,0,15,16,21
"307",112,2,"5",-0.4,0.992,1.064,300,648,666
"308",112,2,"6",-0.456521739130435,7.60869565217391,0.214285714285714,87,1200,180
"309",112,3,"1",1.81081081081081,1.27027027027027,1.64102564102564,150,130,145
"310",112,3,"3",-0.111111111111111,-0.555555555555556,0,20,16,21
"311",112,3,"5",-0.4,1,1.064,300,650,666
"312",112,3,"6",NA,NA,0.214285714285714,20000,14000,180
"313",112,4,"1",1.21621621621622,1.21621621621622,1.64102564102564,128,128,145
"314",112,4,"3",-0.777777777777778,-0.555555555555556,0,14,16,21
"315",112,4,"5",0.94,0.992,1.064,635,648,666
"316",112,4,"6",-0.797101449275362,5.43478260869565,0.214285714285714,40,900,180
"317",112,5,"1",10.1891891891892,1,1.64102564102564,460,120,145
"318",112,5,"3",3.22222222222222,-0.555555555555556,0,50,16,21
"319",112,5,"5",NA,0.992,1.064,NA,648,666
"320",112,5,"6",NA,5.43478260869565,0.214285714285714,NA,900,180
"321",113,1,"1",-0.297297297297297,4.24324324324324,1.64102564102564,72,240,145
"322",113,1,"3",0,0.333333333333333,0,21,24,21
"323",113,1,"5",1.064,1.064,1.064,666,666,666
"324",113,1,"6",NA,-0.289855072463768,0.214285714285714,9780,110,180
"325",113,2,"1",-0.486486486486487,4.51351351351351,1.64102564102564,65,250,145
"326",113,2,"3",-0.111111111111111,-0.111111111111111,0,20,20,21
"327",113,2,"5",3.2,0.8,1.064,1200,600,666
"328",113,2,"6",-0.72463768115942,-0.36231884057971,0.214285714285714,50,100,180
"329",113,3,"1",3.16216216216216,4.24324324324324,1.64102564102564,200,240,145
"330",113,3,"3",1.55555555555556,1.55555555555556,0,35,35,21
"331",113,3,"5",-0.32,1.064,1.064,320,666,666
"332",113,3,"6",1.81159420289855,0,0.214285714285714,400,150,180
"333",113,4,"1",-0.891891891891892,3.7027027027027,1.64102564102564,50,220,145
"334",113,4,"3",-0.666666666666667,-0.111111111111111,0,15,20,21
"335",113,4,"5",-0.74,1.064,1.064,215,666,666
"336",113,4,"6",-0.442028985507246,-0.442028985507246,0.214285714285714,89,89,180
"337",113,5,"1",-0.621621621621622,NA,1.64102564102564,60,NA,145
"338",113,5,"3",-0.555555555555556,-0.555555555555556,0,16,16,21
"339",113,5,"5",NA,-1.452,1.064,NA,37,666
"340",113,5,"6",-0.905797101449275,-0.905797101449275,0.214285714285714,25,25,180
"341",114,1,"1",-0.72972972972973,-0.405405405405405,1.64102564102564,56,68,145
"342",114,1,"3",-1,-1.44444444444444,0,12,8,21
"343",114,1,"5",2.2,1.4,1.064,950,750,666
"344",114,1,"6",-0.72463768115942,NA,0.214285714285714,50,3000,180
"345",114,2,"1",-1.24324324324324,1.21621621621622,1.64102564102564,37,128,145
"346",114,2,"3",-0.333333333333333,-0.333333333333333,0,18,18,21
"347",114,2,"5",0.36,1.6,1.064,490,800,666
"348",114,2,"6",-0.159420289855072,14.8550724637681,0.214285714285714,128,2200,180
"349",114,3,"1",-0.351351351351351,1.21621621621622,1.64102564102564,70,128,145
"350",114,3,"3",-1,0.333333333333333,0,12,24,21
"351",114,3,"5",5.6,NA,1.064,1800,NA,666
